observed_at,window_start,window_end,brawler_id,mode_id,map_id,trophy_bucket,brawler_battles,brawler_wins,stratum_battles,stratum_slots,source_id
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,brawlBall,BackyardBowl,low,1996,1040,5456,32736,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,brawlBall,BackyardBowl,low,1404,648,5456,32736,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,brawlBall,BackyardBowl,low,1903,1069,5456,32736,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,brawlBall,BackyardBowl,low,1467,741,5456,32736,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,brawlBall,BackyardBowl,mid,3083,1586,8818,52908,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,brawlBall,BackyardBowl,mid,2539,1220,8818,52908,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,brawlBall,BackyardBowl,mid,2881,1627,8818,52908,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,brawlBall,BackyardBowl,mid,2381,1212,8818,52908,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,brawlBall,BackyardBowl,high,459,260,1402,8412,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,brawlBall,BackyardBowl,high,365,169,1402,8412,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,brawlBall,BackyardBowl,high,445,230,1402,8412,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,brawlBall,BackyardBowl,high,389,190,1402,8412,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,brawlBall,PinholePunt,low,1637,872,4311,25866,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,brawlBall,PinholePunt,low,1360,676,4311,25866,fixture-synthetic-v1
